Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAPL,Apple Inc.,147.81,-0.33713168,-0.5,Neutral,65446167,9673597944.27,2351378906992,24.30474755,6.1445,164000,Electronic Technology
MSFT,Microsoft Corporation,255.02,0.12956928,0.33,Buy,21528403,5490173333.06,1901039773167,27.4456346,9.3269,221000,Technology Services
GOOG,Alphabet Inc.,100.83,-0.4443128,-0.45,Buy,18821492,1897771038.36,1302368487885,20.38073007,5.0893,156500,Technology Services
AMZN,"Amazon.com, Inc.",94.13,-1.43455497,-1.37,Sell,72496165,6824064011.45,960281690945,87.69513315,1.1147,1608000,Retail Trade
TSLA,"Tesla, Inc.",194.86,0.08217771,0.16,Neutral,73644517,14350370582.62,615319642660,60.15757763,3.6018,99290,Consumer Durables
UNH,UnitedHealth Group Incorporated,536.16,-0.13968822,-0.75,Buy,2346028,1257846372.48,500960566949,26.29372616,20.7071,350000,Health Services
JNJ,Johnson & Johnson,178.88,0.07832606,0.14,Buy,5824048,1041805706.24,467678803079,24.87959689,7.287,141700,Health Technology
XOM,Exxon Mobil Corporation,109.86,-0.84837545,-0.94,Neutral,15248385,1675187576.1,452435721703.0001,9.02721199,12.274,63000,Energy Minerals
V,Visa Inc.,217.66,0.30414747,0.66,Buy,5132837,1117213301.42,448746894076,31.69039796,7.0454,26500,Commercial Services
NVDA,NVIDIA Corporation,168.76,-1.51152612,-2.59,Buy,37138739,6267533593.639999,415149586487,72.8962818,2.3817,22473,Electronic Technology
WMT,Walmart Inc.,153.22,-0.0978027,-0.15,Buy,6911044,1058910161.68,413203706773.0001,47.39786143,3.2509,2300000,Retail Trade
JPM,JP Morgan Chase & Co.,135.16,-0.79271873,-1.08,Buy,8932057,1207256824.12,396452009101,11.50228796,11.8614,271025,Finance
PG,Procter & Gamble Company (The),150.61,0.91122278,1.36,Strong Buy,4938278,743754049.58,356900033082,25.87238026,5.956,106000,Consumer Non-Durables
LLY,Eli Lilly and Company,374.76,1.19623039,4.43,Buy,1925568,721625863.68,356088662761,55.61930222,6.6754,35000,Health Technology
CVX,Chevron Corporation,181.03,-0.80004384,-1.46,Neutral,6852304,1240472593.1200001,350046584311,10.38279036,17.652,42595,Energy Minerals
MA,Mastercard Incorporated,360.06,-0.20509978,-0.74,Strong Buy,2015586,725731895.16,346183203717,36.0212853,10.0481,24000,Commercial Services
HD,"Home Depot, Inc. (The)",327.99,0.28128535,0.92,Strong Buy,3644116,1195233606.84,334282797699,19.71013619,16.6477,490600,Retail Trade
META,"Meta Platforms, Inc.",123.49,2.53238127,3.05,Buy,39950464,4933482799.36,327455014477,11.4733172,10.5709,71970,Technology Services
BAC,Bank of America Corporation,36.08,-1.28590971,-0.47,Sell,42295225,1526011718,289449365900,11.59176683,3.1763,208000,Finance
ABBV,AbbVie Inc.,163.66,1.25595496,2.03,Strong Buy,4305089,704570865.74,289429519992,21.54176274,7.5334,50000,Health Technology
PFE,"Pfizer, Inc.",50.91,-0.33281128,-0.17,Buy,16881642,859444394.2199999,285773837952,9.83631812,5.3098,79000,Health Technology
MRK,"Merck & Company, Inc.",110.04,0.21857923,0.24,Buy,6943575,764070993,278994977731,18.26772702,6.0326,68000,Health Technology
KO,Coca-Cola Company (The),64.35,0.87788055,0.56,Strong Buy,13642949,877923768.15,278282448186,27.96212686,2.2937,79000,Consumer Non-Durables
PEP,"PepsiCo, Inc.",185.69,-0.11296396,-0.21,Buy,3547756,658782811.64,255826830007.00003,26.590571,7.0288,309000,Consumer Non-Durables
BABA,Alibaba Group Holding Limited,90.06,4.79404236,4.12,Buy,35042228,3155903053.6800003,230779378714.02063,231.20796341,0.3893,254941,Retail Trade
AVGO,Broadcom Inc.,540.8,-1.80662733,-9.95,Buy,1931953,1044800182.3999999,225320928312,24.00106332,24.0352,20000,Electronic Technology
ORCL,Oracle Corporation,83.35,-0.90357865,-0.76,Buy,4798927,399990565.45,224725453637,39.94396163,2.1779,143000,Technology Services
COST,Costco Wholesale Corporation,494.53,-1.85170484,-9.33,Sell,3632090,1796177467.6999998,218881032971,38.34609355,13.1724,304000,Retail Trade
CSCO,"Cisco Systems, Inc.",49.7,-0.54032419,-0.27,Buy,12325139,612559408.3000001,204172723593.00003,18.06514587,2.7758,83300,Electronic Technology
MCD,McDonald's Corporation,273.4,0,0,Buy,2807524,767577061.5999999,200244686825.99997,34.44018946,7.993,200000,Consumer Services
DHR,Danaher Corporation,274.23,-0.11291615,-0.31,Buy,1810596,496519741.0800001,199629221281.00003,30.31045752,9.2029,80000,Health Technology
ACN,Accenture plc,300.13,-0.89158934,-2.7,Buy,1744558,523594192.54,199521386000,28.27227575,10.8686,721000,Technology Services
TMUS,"T-Mobile US, Inc.",152.41,0.39523088,0.6,Buy,3046578,464328952.98,189621542338,124.26127527,1.227,75000,Communications
ABT,Abbott Laboratories,108.09,0.14824423,0.16,Buy,4944080,534405607.2,188462878140.99997,24.34255041,4.4673,113000,Health Technology
DIS,Walt Disney Company (The),99.43,0.85201339,0.84,Buy,12608068,1253620201.24,181319757195,57.22992976,1.7266,220000,Consumer Services
NKE,"Nike, Inc.",112.2,0.98100981,1.09,Buy,5891969,661078921.8000001,175557960118,31.55458366,3.5812,79100,Consumer Non-Durables
WFC,Wells Fargo & Company,45.94,-1.98421165,-0.93,Sell,29820376,1369948073.4399998,175053949782,12.17529094,3.8827,247848,Finance
BMY,Bristol-Myers Squibb Company,81.13,0.3090999,0.25,Buy,6366693,516529803.09,172495367637,26.35901447,3.0919,32200,Health Technology
NEE,"NextEra Energy, Inc.",85.2,0.43616645,0.37,Strong Buy,6316947,538203884.4,169306330458.99997,43.80357327,1.9458,15000,Utilities
UPS,"United Parcel Service, Inc.",189.39,-0.420632,-0.8,Buy,3661709,693491067.51,163788434051,14.90318688,12.8308,534000,Transportation
PM,Philip Morris International Inc,104.3,1.79582276,1.84,Strong Buy,5847286,609871929.8,161686101545.00003,18.2501514,5.6197,69600,Consumer Non-Durables
TXN,Texas Instruments Incorporated,177.66,0.09014085,0.16,Buy,3822916,679179256.56,161239194442.99997,18.58891786,9.66,31000,Electronic Technology
VZ,Verizon Communications Inc.,38.18,-0.39133838,-0.15,Sell,21677142,827633281.56,160349028957,8.33387689,4.6009,118400,Communications
ADBE,Adobe Inc.,341.53,-0.74976025,-2.58,Buy,2741993,936472869.29,158777294348,33.91348911,10.1848,25988,Technology Services
MS,Morgan Stanley,92.1,-0.96774194,-0.9,Buy,5198046,478740036.6,155659070859,13.50193818,6.9883,74814,Finance
CMCSA,Comcast Corporation,35.86,-1.15766262,-0.42,Buy,25809062,925512963.32,155037439713,31.58902917,1.1724,189000,Consumer Services
SCHW,Charles Schwab Corporation (The),82.46,0.89318488,0.73,Strong Buy,4227039,348561635.94,153931318994,24.7899542,3.3103,33400,Finance
AMGN,Amgen Inc.,285.51,-0.1503812,-0.43,Buy,2267114,647283718.14,152342191924,22.91993972,12.5397,24200,Health Technology
COP,ConocoPhillips,122.18,-0.71509833,-0.88,Sell,4879727,596205044.86,152244975563,8.83372695,13.986,9900,Energy Minerals
RTX,Raytheon Technologies Corporation,101.01,1.51758794,1.51,Strong Buy,4339654,438348450.54,148490843641,33.23313293,3.0144,174000,Electronic Technology
HON,Honeywell International Inc.,219.08,0.77740466,1.69,Buy,2194258,480718042.6400001,147292363184,27.80883425,7.8904,99000,Producer Manufacturing
CRM,"Salesforce, Inc.",144.56,-1.65986395,-2.44,Sell,15086545,2180910945.2,144559997559,529.72972973,0.2787,73541,Technology Services
NFLX,"Netflix, Inc.",320.41,1.09165484,3.46,Strong Buy,12690329,4066108314.89,142589022538,28.38807334,11.3507,11300,Technology Services
QCOM,QUALCOMM Incorporated,125.66,-0.90686854,-1.15,Buy,6122172,769312133.52,140864864104.99997,11.14813187,11.5171,51000,Electronic Technology
T,AT&T Inc.,19.02,-0.88587806,-0.17,Buy,33479648,636782904.96,135555543261.99995,7.11109464,2.764,203000,Communications
CVS,CVS Health Corporation,102.58,0.91490408,0.93,Strong Buy,4479111,459467206.38,134786728951.00002,43.12319701,2.3999,300000,Retail Trade
IBM,International Business Machines Corporation,148.67,-0.3285063,-0.49,Buy,2899995,431142256.65,134416470799,108.74097835,1.4204,307600,Technology Services
UNP,Union Pacific Corporation,214.73,-0.55573566,-1.2,Buy,1759997,377924155.81,132016182237,19.25556675,11.2377,29905,Transportation
LOW,"Lowe's Companies, Inc.",214.84,-0.29701132,-0.64,Strong Buy,3242449,696607743.16,129914299145.00002,21.11803677,10.2303,340000,Retail Trade
GS,"Goldman Sachs Group, Inc. (The)",380.58,-0.84156223,-3.23,Buy,1932505,735472752.9,128877544868,10.22122327,38.1415,43900,Finance
CAT,"Caterpillar, Inc.",236.13,0.1866859,0.44,Buy,2218271,523800331.23,122884265377.00002,17.12465124,13.8493,107700,Producer Manufacturing
INTC,Intel Corporation,29.41,-1.40797855,-0.42,Sell,31545955,927766536.55,121375069370,9.20508548,3.2618,121100,Electronic Technology
AMD,"Advanced Micro Devices, Inc.",74.98,-3.22663913,-2.5,Buy,64376323,4826936698.54,120894464223.99998,46.42300779,1.6877,15500,Electronic Technology
SBUX,Starbucks Corporation,105.05,1.62522976,1.68,Strong Buy,7916878,831668033.9,120576398631.99998,36.48524636,2.8456,402000,Consumer Services
AXP,American Express Company,156.75,-0.47619048,-0.75,Buy,2285397,358235979.75,117128720398,15.82501055,9.9658,64000,Finance
GILD,"Gilead Sciences, Inc.",89.03,1.28555176,1.13,Buy,6730367,599204574.01,111665332573.00002,33.24005445,2.6556,14400,Health Technology
PDD,Pinduoduo Inc.,86.34,3.10484834,2.6,Buy,15641368,1350475713.1200001,109167061025,27.65795819,3.439,9762,Retail Trade
BA,Boeing Company (The),182.87,4.0334509,7.09,Buy,10563839,1931809237.93,108987447677.99998,,-14.25,142000,Electronic Technology
MDT,Medtronic plc.,79.62,0.46687697,0.37,Sell,6339518,504752423.16,105908939530,24.63551867,3.2316,95000,Health Technology
BX,Blackstone Inc.,85.16,0.14111007,0.12,Sell,13587566,1157117120.56,102131498194.00002,24.01106813,3.5438,3795,Finance
CI,Cigna Corporation,327.2,1.15937548,3.75,Buy,1301272,425776198.4,100037809006,15.45330327,21.1706,73700,Health Services
ISRG,"Intuitive Surgical, Inc.",272.25,-0.81605887,-2.24,Buy,1629271,443569029.75,96208944283,72.66446062,3.8562,9793,Health Technology
GE,General Electric Company,86.88,1.90007037,1.62,Buy,4480434,389260105.9199999,94931000729,,-5.3687,168000,Producer Manufacturing
MDLZ,"Mondelez International, Inc.",68.31,0.32310178,0.22,Strong Buy,3798399,259468635.69,93285398469.00002,30.27433196,2.2623,79000,Consumer Non-Durables
TJX,"TJX Companies, Inc. (The)",80.19,0.56433409,0.45,Buy,4776816,383052875.04,92659880641,27.80334728,,340000,Retail Trade
AMAT,"Applied Materials, Inc.",106.71,-0.28034763,-0.3,Buy,3903370,416528612.7,91803613920.99998,14.39196277,7.487,,Producer Manufacturing
C,"Citigroup, Inc.",47.24,-1.13017999,-0.54,Sell,12745449,602095010.76,91496934496,6.54592284,7.3435,223400,Finance
ADI,"Analog Devices, Inc.",168.63,-1.6620014,-2.85,Buy,3055210,515200062.3,85882574986,32.53396069,5.3091,24450,Electronic Technology
MO,"Altria Group, Inc.",47.63,1.31886833,0.62,Buy,7653654,364543540.0200001,85361183206,18.25985628,2.5788,6000,Consumer Non-Durables
EL,"Estee Lauder Companies, Inc. (The)",239.01,3.03931712,7.05,Buy,2002576,478635689.76,85281711405,38.63295693,6.0822,63000,Consumer Non-Durables
PYPL,"PayPal Holdings, Inc.",74.66,-4.92805297,-3.87,Strong Sell,24238337,1809634240.42,85114473001,39.93592352,1.9786,30900,Commercial Services
EOG,"EOG Resources, Inc.",138.97,-1.11711968,-1.57,Neutral,3932546,546505917.62,81629523195.99998,11.04283873,12.8208,2800,Energy Minerals
PGR,Progressive Corporation (The),132.51,0.9523084,1.25,Strong Buy,1253232,166065772.32,77527583018,92.8945506,1.421,49077,Finance
DUK,Duke Energy Corporation (Holding Company),99.52,-0.78755857,-0.79,Buy,2097709,208763999.67999995,76636641712,20.1826925,4.9701,27605,Utilities
TGT,Target Corporation,164.16,-0.52717688,-0.87,Neutral,3442958,565195985.28,75564505914,22.59508749,7.3609,450000,Retail Trade
SLB,Schlumberger N.V.,52.79,1.98995363,1.03,Buy,9378605,495096557.95,74855892649.99998,24.95540234,2.1074,92000,Industrial Services
ZTS,Zoetis Inc.,157.42,0.4979571,0.78,Buy,1946139,306361201.38,73369051965,35.80261023,4.3915,12100,Health Technology
SO,Southern Company (The),67.34,-0.56113408,-0.38,Neutral,4003735,269611514.90000004,73311225837.00002,21.46162135,3.1751,27300,Utilities
BAM,Brookfield Asset Management Inc.,45.13,-3.42392467,-1.6,Neutral,2774804,125226904.52000003,73103803522.2889,24.66503296,1.95875182,180000,Finance
MMM,3M Company,126.99,0.79371379,1,Neutral,1821877,231360160.23,70192822220.00002,10.97999913,11.52,95000,Producer Manufacturing
MRNA,"Moderna, Inc.",182.35,0.47939167,0.87,Buy,2765421,504274519.35,70055313047,6.56247514,29.3391,2700,Health Technology
USB,U.S. Bancorp,45.64,0.63947078,0.29,Buy,10786767,492308045.88,67812983009.00001,10.81512926,4.1953,68796,Finance
CSX,CSX Corporation,32.05,-1.92778458,-0.63,Buy,11178543,358272303.15,67382196956,17.38112967,1.8844,20900,Transportation
FISV,"Fiserv, Inc.",105.46,0.40940684,0.43,Strong Buy,2881656,303899441.76,66970060332,32.98577306,3.2139,44000,Finance
BSX,Boston Scientific Corporation,46.6,1.04076323,0.48,Strong Buy,7148116,333102205.6,66745703429.99999,111.10575765,0.4177,41000,Distribution Services
PNC,"PNC Financial Services Group, Inc. (The)",164.23,-0.34587379,-0.57,Buy,1569945,257832067.35,66237082699,12.43173109,13.2564,59426,Finance
CL,Colgate-Palmolive Company,78.17,0.54019293,0.42,Strong Buy,2797099,218649228.83,65288690324,33.90606602,2.3008,33800,Consumer Non-Durables
ABNB,"Airbnb, Inc.",101,-0.266614,-0.27,Neutral,4128629,416991529,63941668443,42.3670669,2.5516,6132,Consumer Services
LRCX,Lam Research Corporation,457.67,-1.18106836,-5.47,Neutral,1102371,504522135.57,62416738376.00001,13.28178995,35.0121,17700,Producer Manufacturing
OXY,Occidental Petroleum Corporation,68.21,-0.85755814,-0.59,Sell,9092363,620190080.2299999,61997031534.00001,5.7317571,12.8709,11678,Energy Minerals
ICE,Intercontinental Exchange Inc.,109.25,-0.25563772,-0.28,Buy,1171966,128037285.5,61021766205,24.25215331,4.5405,8858,Finance
MET,"MetLife, Inc.",76.91,0.33920417,0.26,Buy,2438546,187548572.86,60344065804.99999,28.80604307,2.6998,43000,Finance
TFC,Truist Financial Corporation,45.06,-2.50973605,-1.16,Sell,9505058,428297913.48,59784088387.00001,10.60334939,4.3954,52641,Finance
MU,"Micron Technology, Inc.",54.68,-1.45972247,-0.81,Strong Sell,15946484,871953745.12,59446378237.00001,7.17397769,7.8047,48000,Electronic Technology
ATVI,"Activision Blizzard, Inc",75.76,0.75807953,0.57,Buy,6146920,465690659.2000001,59291694792.00001,35.29384153,2.1448,9800,Technology Services
FCX,"Freeport-McMoRan, Inc.",40.22,1.64265858,0.65,Strong Buy,15008702,603649994.4399999,57487544565,15.01024202,2.6564,24700,Non-Energy Minerals
UBER,"Uber Technologies, Inc.",28.75,1.44671842,0.41,Buy,15980529,459440208.75,57339211273,,-4.5077,29300,Transportation
EMR,Emerson Electric Company,96.87,1.28607277,1.23,Buy,3736504,361955142.48,57288921989,17.6538994,5.4478,85500,Producer Manufacturing
PXD,Pioneer Natural Resources Company,239.41,0.14221776,0.34,Sell,1656639,396615942.99,56883515124,8.52725068,29.423,1932,Energy Minerals
GM,General Motors Company,39.9,-1.31090774,-0.53,Buy,9224083,368040911.7,56685803584,6.86312788,5.9365,157000,Consumer Durables
F,Ford Motor Company,13.86,-1.5625,-0.22,Neutral,42416488,587892523.68,55726097985,6.36585586,2.2555,183000,Consumer Durables
MPC,Marathon Petroleum Corporation,118.23,-1.66347833,-2,Sell,3889225,459823071.75,55409774833.00001,5.27861684,22.9335,17700,Energy Minerals
KDP,Keurig Dr Pepper Inc.,38.74,0.07749935,0.03,Buy,6806343,263677727.82000005,54865574666.99999,30.29425575,1.2879,27500,Consumer Non-Durables
MNST,Monster Beverage Corporation,104.04,0.76513317,0.79,Strong Buy,1687326,175549397.04000002,54282210068,45.59102751,2.292,4092,Consumer Non-Durables
EPD,Enterprise Products Partners L.P.,24.85,0.16122531,0.04,Neutral,3267811,81205103.35000001,54062910962,10.72818473,2.3197,6911,Industrial Services
MAR,Marriott International,165.63,0.26635995,0.44,Strong Buy,1419335,235084456.05,52428457451,25.2067629,6.5842,120000,Consumer Services
PANW,"Palo Alto Networks, Inc.",172.69,-3.20067265,-5.71,Buy,3272027,565046342.63,52214019600,,-0.4863,12561,Technology Services
GIS,"General Mills, Inc.",86.52,1.28775462,1.1,Strong Buy,3125839,270447590.28,51352701972,17.97142917,4.7959,32500,Consumer Non-Durables
PSX,Phillips 66,106.66,-1.2773047,-1.38,Neutral,2675983,285420346.78,50410955667,4.94299361,21.9186,14000,Energy Minerals
D,"Dominion Energy, Inc.",60.47,0.16564519,0.1,Sell,4440836,268537352.92,50388152816,21.74241879,2.801,17100,Utilities
ADM,Archer-Daniels-Midland Company,91.71,0.42706965,0.39,Neutral,3558362,326337379.02,50379441594,12.60525081,7.2802,41000,Process Industries
VLO,Valero Energy Corporation,127.07,-3.75672196,-4.96,Sell,5487993,697359270.51,48988443696,5.63073341,23.4481,9813,Energy Minerals
AEP,"American Electric Power Company, Inc.",95.12,-1.40961857,-1.36,Buy,3491990,332158088.8,48878717363.99999,20.02698495,4.8331,16688,Utilities
KHC,The Kraft Heinz Company,39.83,0.86097746,0.34,Buy,4835750,192607922.5,48788971144,40.15659955,0.9921,36000,Consumer Non-Durables
CNC,Centene Corporation,85.79,-0.02330731,-0.02,Buy,4822570,413728280.3,48579420574.99999,25.04670169,3.4735,72500,Health Services
CTVA,"Corteva, Inc.",67.31,1.6,1.06,Buy,1865132,125542034.92,48092455071,35.60296647,1.8735,21000,Process Industries
APH,Amphenol Corporation,80.62,-0.30913812,-0.25,Buy,1340305,108055389.1,47976523728,27.0921273,3.1157,90000,Electronic Technology
SNOW,Snowflake Inc.,149.74,-2.79148273,-4.3,Neutral,6909259,1034592442.66,47916801758.00001,,-2.283,3992,Technology Services
EW,Edwards Lifesciences Corporation,76.55,-1.30221764,-1.01,Neutral,3156845,241656484.75,47327843012,33.39361061,2.3465,15700,Health Technology
FDX,FedEx Corporation,181.41,0.53200333,0.96,Buy,2060261,373751948.01,47206472621,13.3205873,13.703,249000,Transportation
JCI,Johnson Controls International plc,68.12,1.82361734,1.22,Buy,3895186,265340070.32000005,46778268654.00001,30.42291951,2.2094,102000,Producer Manufacturing
AIG,"American International Group, Inc. New",62.75,-0.55467512,-0.35,Buy,4421988,277479747,46621993774,3.77342694,17.0634,36600,Finance
SHOP,Shopify Inc.,43.06,-0.78341014,-0.34,Buy,30820931,1327149288.8600001,46533115988.99999,,-2.5441,10000,Technology Services
ENPH,"Enphase Energy, Inc.",336,7.00636943,22,Strong Buy,5542054,1862130144,45670324219,151.86689882,2.1914,2260,Electronic Technology
DXCM,"DexCom, Inc.",118.11,0.06777938,0.08,Buy,1883635,222476129.85,45620946514,213.70631903,0.5896,6300,Health Technology
KKR,KKR & Co. Inc.,52.25,-0.57088487,-0.3,Buy,3864364,201913019,44993095596,,-0.5824,3238,Finance
AFL,AFLAC Incorporated,72.34,0.59796968,0.43,Buy,1892294,136888547.96,44980183182,9.18109392,7.867,12447,Finance
DVN,Devon Energy Corporation,68.46,0.26362039,0.18,Sell,8250205,564809034.3,44752302237.00001,7.18880618,9.527,1600,Energy Minerals
HES,Hess Corporation,144.02,0.45337239,0.65,Buy,1632274,235080101.48,44402587409,23.85166947,6.0334,1545,Energy Minerals
NXPI,NXP Semiconductors N.V.,171.06,-1.37223247,-2.38,Buy,1619959,277110186.54,44327608036,17.27627699,10.1299,31000,Electronic Technology
FIS,"Fidelity National Information Services, Inc.",74.06,1.20251435,0.88,Buy,8741894,647424669.64,43945681031,47.73646445,1.5417,65000,Commercial Services
WDAY,"Workday, Inc.",170.99,0.89096059,1.51,Buy,2552957,436530117.43,43944431412,,-1.2432,15200,Technology Services
LNG,"Cheniere Energy, Inc.",174.72,-0.46145958,-0.81,Buy,1435597,250827507.84,43445772169,,-15.2443,1550,Industrial Services
SYY,Sysco Corporation,85.33,-0.82519758,-0.71,Buy,1398638,119345780.54,43242473161,30.47713506,2.8404,71000,Transportation
KMI,"Kinder Morgan, Inc.",19,-0.78328982,-0.15,Buy,9641211,183183009,42707096923.99999,17.33031674,1.105,10529,Industrial Services
WMB,"Williams Companies, Inc. (The)",34.96,0.11454754,0.04,Buy,6715194,234763182.24,42593159822.00001,21.31087514,1.6422,4783,Industrial Services
MCHP,Microchip Technology Incorporated,77.31,-1.28958121,-1.01,Buy,4036717,312078591.27,42521168702,23.88970229,3.3303,21000,Electronic Technology
FTNT,"Fortinet, Inc.",53.61,-3.19609967,-1.77,Buy,4685425,251185634.25,41882063667,60.78366809,0.9291,10195,Electronic Technology
ROST,"Ross Stores, Inc.",119,0.86455331,1.02,Buy,2120579,252348901,41300473816,28.63105783,4.1408,100000,Retail Trade
ANET,"Arista Networks, Inc.",135.04,-3.39104307,-4.74,Buy,2016735,272339894.4,41264526152,38.07889288,3.7979,2993,Electronic Technology
EXC,Exelon Corporation,41.45,-0.19263183,-0.08,Buy,5736168,237764163.60000005,41190606840,19.18244804,2.1662,31518,Utilities
SQ,"Block, Inc.",68.18,-1.43125632,-0.99,Buy,7721071,526422620.78,40776899156,,-0.9259,8521,Technology Services
SE,Sea Limited,61.38,0.37612428,0.23,Buy,4337964,266264230.32000005,40767725298,,-4.8354,67300,Retail Trade
NUE,Nucor Corporation,154.2,3.31658291,4.95,Strong Buy,2276970,351108774,39559037938,4.69093275,31.877,28800,Non-Energy Minerals
APO,"Apollo Global Management, Inc. (New)",68.25,-1.4013291,-0.97,Buy,2277496,155439102,39058357773.00001,,-5.6109,2153,Finance
ET,Energy Transfer LP,12.53,0.72347267,0.09,Strong Buy,10036521,125757608.13,38698595208,9.23876717,1.3537,12558,Industrial Services
NEM,Newmont Corporation,48.67,0.20588841,0.1,Buy,8205724,399372587.0800001,38631264460,38.51399572,1.2628,31000,Non-Energy Minerals
BIDU,"Baidu, Inc.",113.8,4.72071409,5.13,Buy,3867168,440083718.4,38556815483.83017,58.32438815,1.8905,45500,Technology Services
MRVL,"Marvell Technology, Inc.",44.72,-1.49779736,-0.68,Buy,25050176,1120243870.72,38128271949,,-0.1674,6729,Electronic Technology
